commit_sha,strategy,tests_available,tests_selected,failures_available,failures_detected,duration_available,duration_selected,abstained,escaped,failure_recall,time_reduction
mut_caa015827517,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_cb44bb46eca3,1. Full Test Suite,191.0,191.0,92.0,92.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_ccbba32ee6f5,1. Full Test Suite,191.0,191.0,1.0,1.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_ce0d69e89f0f,1. Full Test Suite,191.0,191.0,27.0,27.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_ce5097a8bae4,1. Full Test Suite,895.0,895.0,1.0,1.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_ce8ebe6857fe,1. Full Test Suite,895.0,895.0,13.0,13.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_ce961ebfbe8a,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_cf304955ef3c,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_cf6c963757ed,1. Full Test Suite,895.0,895.0,3.0,3.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_cf79a6d39691,1. Full Test Suite,895.0,895.0,2.0,2.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_d0624774f95c,1. Full Test Suite,191.0,191.0,41.0,41.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_d0b1a5c53c7a,1. Full Test Suite,895.0,895.0,19.0,19.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_d0e704dbbf55,1. Full Test Suite,191.0,191.0,21.0,21.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_d0f4efae548f,1. Full Test Suite,365.0,365.0,0.0,0.0,4.793700000000005,4.793700000000021,0.0,0.0,,-3.268496584496461e-13
mut_d0f91c149491,1. Full Test Suite,895.0,895.0,8.0,8.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_d14847af1de6,1. Full Test Suite,191.0,191.0,7.0,7.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_d149277612bd,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_d14d6a9bd5e2,1. Full Test Suite,365.0,365.0,2.0,2.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_d207c4243342,1. Full Test Suite,895.0,895.0,3.0,3.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_d26e9eb3bbd7,1. Full Test Suite,191.0,191.0,3.0,3.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_d352bccae750,1. Full Test Suite,365.0,365.0,1.0,1.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_d3f2e21b70f3,1. Full Test Suite,365.0,365.0,7.0,7.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_d4bc035cfd69,1. Full Test Suite,191.0,191.0,5.0,5.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_d5a598e5b5eb,1. Full Test Suite,365.0,365.0,11.0,11.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_d5bfbcfc6d6b,1. Full Test Suite,365.0,365.0,2.0,2.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
