threshold,source_repo,target_repo,shift_at_step,mean_commit_error,drift_detected,model_adapted,buffer_size,total_adaptations,step,segment,commit_sha
0.5,pathspec,pyjwt,120,0.484,False,False,5000,0,0,source,mut_271a88b94f2a
0.5,pathspec,pyjwt,120,0.1686,False,False,5000,0,1,source,mut_273b59fab021
0.5,pathspec,pyjwt,120,0.2808,False,False,5000,0,2,source,mut_27531e910b3c
0.5,pathspec,pyjwt,120,0.0182,False,False,5000,0,3,source,mut_2772e8b27f7f
0.5,pathspec,pyjwt,120,0.0565,False,False,5000,0,4,source,mut_29db292771c0
0.5,pathspec,pyjwt,120,0.2303,False,False,5000,0,5,source,mut_2a46d9d58366
0.5,pathspec,pyjwt,120,0.0779,False,False,5000,0,6,source,mut_2a4800141334
0.5,pathspec,pyjwt,120,0.1293,False,False,5000,0,7,source,mut_2aad23831dd3
0.5,pathspec,pyjwt,120,0.1293,False,False,5000,0,8,source,mut_2b23de3aacc0
0.5,pathspec,pyjwt,120,0.1012,False,False,5000,0,9,source,mut_2c26ae5c9de4
0.5,pathspec,pyjwt,120,0.042,False,False,5000,0,10,source,mut_2ddbc9596010
0.5,pathspec,pyjwt,120,0.1112,False,False,5000,0,11,source,mut_2eb63ee45454
0.5,pathspec,pyjwt,120,0.1394,False,False,5000,0,12,source,mut_2ec8e80960f0
0.5,pathspec,pyjwt,120,0.0297,False,False,5000,0,13,source,mut_3082e187b8ef
0.5,pathspec,pyjwt,120,0.0316,False,False,5000,0,14,source,mut_31f518d1d40a
0.5,pathspec,pyjwt,120,0.0359,False,False,5000,0,15,source,mut_320e16630e8d
0.5,pathspec,pyjwt,120,0.0166,False,False,5000,0,16,source,mut_320f1bbd9777
0.5,pathspec,pyjwt,120,0.1275,False,False,5000,0,17,source,mut_3435678f3d1f
0.5,pathspec,pyjwt,120,0.0243,False,False,5000,0,18,source,mut_34de7097f517
0.5,pathspec,pyjwt,120,0.1076,False,False,5000,0,19,source,mut_36ed19b50bb6
0.5,pathspec,pyjwt,120,0.1012,False,False,5000,0,20,source,mut_38e31a877c89
0.5,pathspec,pyjwt,120,0.0485,False,False,5000,0,21,source,mut_3d9c3b57e236
0.5,pathspec,pyjwt,120,0.0293,False,False,5000,0,22,source,mut_3e91be117447
0.5,pathspec,pyjwt,120,0.1498,False,False,5000,0,23,source,mut_3f8d3853760f
0.5,pathspec,pyjwt,120,0.0841,False,False,5000,0,24,source,mut_421ebecfcd7e
0.5,pathspec,pyjwt,120,0.0225,False,False,5000,0,25,source,mut_427622f7a299
0.5,pathspec,pyjwt,120,0.1275,False,False,5000,0,26,source,mut_431b67bbe621
0.5,pathspec,pyjwt,120,0.1275,False,False,5000,0,27,source,mut_44b56e710faf
0.5,pathspec,pyjwt,120,0.0841,False,False,5000,0,28,source,mut_45affd13a77a
0.5,pathspec,pyjwt,120,0.1061,False,False,5000,0,29,source,mut_471432ae8885
